,Municipality,Month,FTA Warrants,VOP Warrants,OTI Warrants,Total Warrants,Warrants with LEA,Issued Warrants,Served Warrants  For Month,Warrants Foreign Served
435,Newington,Mar,58,16,0,74,61,3,21,12
436,Newtown,Mar,68,8,0,76,58,1,4,3
437,Norfolk,Mar,5,1,0,6,5,1,0,0
438,North Branford,Mar,29,5,0,34,11,1,1,0
439,North Canaan,Mar,21,1,0,22,16,2,1,1
440,North Haven,Mar,51,5,0,56,13,3,7,6
441,North Stonington,Mar,17,4,0,21,18,0,1,0
442,Norwalk,Mar,1740,124,1,1865,168,21,46,22
443,Norwich,Mar,426,147,2,575,127,26,53,20
444,Old Lyme,Mar,19,4,0,23,6,2,1,1
445,Old Saybrook,Mar,46,5,0,51,17,0,2,2
446,Orange,Mar,24,3,0,27,12,1,2,2
447,Oxford,Mar,36,5,0,41,32,0,3,0
448,Plainfield,Mar,85,20,5,110,44,5,20,11
449,Plainville,Mar,92,9,0,101,38,4,11,9
450,Plymouth,Mar,65,6,0,71,25,2,8,2
451,Pomfret,Mar,13,10,0,23,8,0,0,0
452,Portland,Mar,22,14,0,36,18,3,0,0
453,Preston,Mar,12,3,0,15,13,0,0,0
454,Prospect,Mar,18,2,0,20,17,0,0,0
455,Putnam,Mar,111,28,1,140,80,2,3,2
456,Redding,Mar,17,1,0,18,13,0,5,3
457,Ridgefield,Mar,54,7,0,61,32,1,0,0
458,Rocky Hill,Mar,37,4,0,41,11,3,0,0
459,Roxbury,Mar,1,0,0,1,1,0,0,0
460,Salem,Mar,21,0,0,21,11,1,2,2
461,Salisbury,Mar,11,4,0,15,10,2,2,1
462,Scotland,Mar,9,1,0,10,1,2,1,0
463,Seymour,Mar,55,10,0,65,49,2,5,3
464,Sharon,Mar,5,1,0,6,5,0,0,0
465,Shelton,Mar,141,25,0,166,55,10,12,8
466,Sherman,Mar,4,2,0,6,5,0,0,0
467,Simsbury,Mar,24,8,0,32,21,2,1,1
468,Somers,Mar,14,5,0,19,11,2,0,0
469,South Windsor,Mar,33,8,1,42,22,2,1,1
470,Southbury,Mar,22,2,0,24,16,2,4,3
471,Southington,Mar,108,13,0,121,63,9,30,20
472,Sprague,Mar,8,11,1,20,12,1,2,0
473,Stafford,Mar,73,10,0,83,60,4,5,3
474,Stamford,Mar,2347,269,3,2619,512,34,46,23
475,Sterling,Mar,27,2,0,29,14,2,2,2
476,Stonington,Mar,111,13,0,124,38,2,2,1
477,Stratford,Mar,363,77,0,440,67,19,24,11
478,Suffield,Mar,21,4,0,25,17,1,2,2
479,Thomaston,Mar,14,4,0,18,10,2,2,0
480,Thompson,Mar,67,26,4,97,47,1,0,0
481,Tolland,Mar,34,0,0,34,28,1,1,1
482,Torrington,Mar,293,31,1,325,196,20,21,10
483,Trumbull,Mar,75,10,0,85,36,4,2,2
484,Union,Mar,2,0,0,2,2,0,0,0
485,Vernon,Mar,155,35,1,191,107,5,17,7
486,Voluntown,Mar,3,4,0,7,6,0,2,2
487,Wallingford,Mar,88,22,1,111,28,3,12,7
488,Warren,Mar,0,0,0,0,0,0,0,0
489,Washington,Mar,13,0,0,13,12,0,0,0
